Date and Time:                Thu Sep 14 13:13:49.000 2023
Software Version:             4.31.30023.0
Unstabilized Temperature (C): -50.042
Model:                        DV401_BV
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1.00002
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 64.25
Pixel Readout Time (usecs):   10
Serial Number:                6199
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
Acton SpectraPro 2300i:
Serial Number:                
Wavelength (nm):              512.997
Grating Groove Density (l/mm):1200



-209.17711,26
-206.69394,28
-204.21138,27
-201.7294,36
-199.24672,58
-196.76595,87
-194.28577,130
-191.80487,179
-189.32457,215
-186.84616,238
-184.36705,229
-181.88853,219
-179.41061,211
-176.93329,219
-174.45654,300
-171.97911,611
-169.50357,1210
-167.02861,2117
-164.55295,3088
-162.07788,3696
-159.60471,3750
-157.13081,3125
-154.65752,2183
-152.18481,1262
-149.71271,616
-147.2412,276
-144.76898,154
-142.29865,137
-139.8289,136
-137.35846,159
-134.8886,189
-132.42062,217
-129.95195,228
-127.48388,217
-125.01638,211
-122.54948,176
-120.08317,181
-117.61614,213
-115.15101,308
-112.68648,558
-110.22123,1051
-107.75786,1860
-105.29379,2843
-102.83031,3833
-100.36742,4379
-97.905121,4349
-95.443413,3704
-92.982285,2697
-90.521751,1685
-88.060509,946
-85.601151,496
-83.14109,299
-80.682899,223
-78.224022,193
-75.765717,177
-73.308006,175
-70.850876,190
-68.394341,189
-65.938393,197
-63.483028,212
-61.028248,231
-58.572769,253
-56.119164,274
-53.664856,310
-51.211132,373
-48.759289,498
-46.306736,740
-43.854771,1120
-41.403393,1650
-38.952599,2262
-36.501102,2799
-34.051479,3047
-31.602442,3078
-29.152702,2766
-26.703547,2417
-24.25626,2038
-21.808273,1836
-19.36087,1810
-16.914053,1982
-14.467817,2408
-12.022166,3080
-9.5770988,3936
-7.131331,4881
-4.6874294,5700
-2.2441099,6271
0.19990827,6486
2.6433437,6207
5.0849156,5485
7.5271859,4529
9.9688749,3711
12.409981,3217
14.850506,3037
17.291727,3048
19.731089,2988
22.169868,2669
24.609346,2148
27.046965,1535
29.485279,1064
31.923014,751
34.360168,666
36.796738,940
39.232731,1592
41.668144,2199
44.102978,2441
46.537231,2380
48.972179,2098
51.405273,1631
53.839062,1219
56.270996,1088
58.703625,1220
61.135681,1664
63.56715,2298
65.998047,2986
68.42836,3472
70.858101,3663
